classType,producer,name,version,entry,source,tags,ESP_DEP,ASLR,SEHOP,UAC,DNSSEC,Encryption,Cryptography,Firewall_Defender,Authentication
WindowsOperatingSystem,Microsoft Corporation,Windows NT 4.0,NT 4.0,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.51,NT 3.51,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.5,NT 3.50,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WindowsOperatingSystem,Microsoft Corporation,Windows NT 3.1,NT 3.10,manual,https://en.wikipedia.org/wiki/List_of_Microsoft_Windows_versions,server,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
LinuxOperatingSytem,Red Hat,Red Hat Linux,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LinuxOperatingSytem,"The CentOS Project; (affiliated with Red Hat)",CentOS,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LinuxOperatingSytem,"Fedora Project (sponsored by Red Hat)",Fedora,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LinuxOperatingSytem,"openSUSE Project",openSUSE,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LinuxOperatingSytem,Mandriva,Mandrake Linux,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
LinuxOperatingSytem,"Canonical Ltd., Ubuntu community",Ubuntu,,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,server,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,High Sierra,10.13,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Sierra,10.12,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,El Capitan,10.11,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Yosemite,10.1,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Mavericks,10.9,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Mountain Lion,10.8,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Lion,10.7,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Snow Leopard,10.6,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Leopard,10.5,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Tiger,10.4,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Panther,10.3,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Jaguar,10.2,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Puma,10.1,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
macOperatingSytem,Apple Inc.,Cheetah,10,manual,https://en.wikipedia.org/wiki/List_of_Linux_distributions,client,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
bsdOperatingSytem,"The FreeBSD Project",FreeBSD,,manual,https://en.wikipedia.org/wiki/List_of_BSD_operating_systems,client,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
bsdOperatingSytem,"The NetBSD Foundation",NetBSD,,manual,https://en.wikipedia.org/wiki/List_of_BSD_operating_systems,client,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
bsdOperatingSytem,"The OpenBSD Project",OpenBSD,,manual,https://en.wikipedia.org/wiki/List_of_BSD_operating_systems,client,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
